id,followers,genres,name,popularity
31Y4HSOp2FJ9CNDNQ0jLAS,3,[],"Philip Ramsey, Rosemary Daniels, and Berenice Ford",0
72GswzXPtmTTeWJeCs1zxr,65,[],John John,18
3SMqP53S2LdFgpWQJ3Rm23,170,[],Lionel Family,3
7jOztbqeep20mIidZbmK4m,129,[],U.B.Lionel,3
53k0iPR8npW89YWpTOdrwH,158,[],U.Benjamin,7
2wN5mNuMt8YNm6ulJlfBJl,52,[],Beena Mol,0
5Z0E79KEXMtnG2KZDGv0nL,81,[],Devadass,0
6MNYE2c5i0jGV1HPqIbvdC,45,[],Kovai Rufus,0
007u0G6RYDhTH0YKpxyQ82,17,[],N. Lathika,1
0qbAihNCpSOvl17WHh9UAA,118,['tamil worship'],V. Nataraja Mudaliar,4
79mWaqAEi7jOPm7iN16brX,0,[],Choutou Band,0
2F0RmNSyhxsuESUEY65nh6,25,[],Anuradha Suresh Krishnamoorthy,0
4bdj73iMT3od4kTU2gn8SP,102,[],Komal,0
61WkWysVptnRkmDLDIoBpX,1725,"['british choir', 'cathedral choir', 'choral']",Wells Cathedral Choir,25
6Tn43TjQJftwCHYbGP3qQX,641,['british choir'],The Choir of Canterbury Cathedral,10
6OLegABYqaWXx6d2SNh1Dw,1350,"['british choir', 'cathedral choir']",Norwich Cathedral Choir,21
0c8lTz0eU3gi0rwa9u4Od9,124,['boy pop'],Anthony Way,12
4Eek42OiorJcnn7Ce0LeMo,847,['oxford choir'],Oxford St. Peter's Choir,7
2TvZP7BtYzz7GeNh9rJXMe,1948,"['british choir', 'cambridge choir', 'cathedral choir']",Ely Cathedral Choir,26
